END_TIME,M_TMSI,POS_LAST_LON,POS_LAST_LAT
2017-11-13 12:50:27,C80700D5,11.654109,48.188565
2017-11-13 13:00:41,C80700D5,11.653497,48.188808
2017-11-13 13:10:43,C80700D5,11.653621,48.189236
2017-11-13 13:26:01,C80700D5,11.652447,48.188936
2017-11-13 13:35:11,C80700D5,11.654862,48.188509
2017-11-13 13:36:05,C80700D5,11.654495,48.189068
2017-11-13 13:38:09,C80700D5,11.654021,48.189608
2017-11-13 13:43:30,C80700D5,11.654769,48.188495
2017-11-13 13:45:52,C80700D5,11.653784,48.187676
2017-11-13 13:53:19,C80700D5,11.652825,48.188322
2017-11-13 13:59:57,C80700D5,11.652393,48.188861
2017-11-13 14:00:15,C80700D5,11.654889,48.188719
2017-11-13 14:07:51,C80700D5,11.654324,48.188778
2017-11-13 14:13:54,C80700D5,11.653414,48.188526
2017-11-13 14:23:09,C80700D5,11.654176,48.188604
2017-11-13 14:35:17,C80700D5,11.653745,48.183894
2017-11-13 14:43:41,C80700D5,11.654307,48.187303
2017-11-13 14:44:23,C80700D5,11.655887,48.187608
2017-11-13 14:59:30,C817CF3C,11.462697,48.208453
2017-11-13 08:15:21,C8954099,11.715421,48.073403
2017-11-13 08:15:58,C8954099,11.719251,48.067013
2017-11-13 08:17:54,C8954099,11.692969,48.049838
2017-11-13 21:27:39,C91388E4,11.582287,48.160234
2017-11-13 12:03:12,CA125177,11.565944,48.133452
2017-11-13 17:45:51,CB010271,11.563618,48.138268
2017-11-13 17:46:02,CB010271,11.563094,48.139726
2017-11-13 17:46:13,CB010271,11.563187,48.137291
2017-11-13 02:41:14,CB8D5D7C,11.465864,48.165803
2017-11-13 12:59:51,CB93315B,11.666981,48.197591
2017-11-13 10:19:41,CB9F0486,11.75315,48.157301
2017-11-13 13:26:02,CE0DCE70,11.564419,48.138866
2017-11-13 12:51:22,CE16482B,11.528997,48.140093
2017-11-13 12:51:54,CE16482B,11.53524,48.145752
2017-11-13 12:53:45,CE16482B,11.535186,48.146566
2017-11-13 12:53:35,CE16482B,11.540438,48.148282
2017-11-13 12:55:57,CE16482B,11.529463,48.148481
2017-11-13 12:57:16,CE16482B,11.527878,48.148764
